id,userSeq,orderdetailSeq,itemCode,status,method,count,incomeImage,additionalImage,stainImageOne,stainImageTwo,stainImageThree,stainInfoOne,stainInfoTwo,stainInfoThree,storeLocation,machid,careLabel,sortCat,sortItem,sortColor,sortTexture,deliveryInfo,inspectionMemo,ngMemo,afterCheckMemo,masterComment,confirmYN,passYN,createDate,updateDate
.0101587765,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,"2023-07-04 10:50:09","2023-07-04 10:51:21"
00101586866,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,"2023-07-04 10:42:26","2023-07-04 10:57:44"
0101481375,1669,331,19275,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481375_20230620140509_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481375_20230620140509_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481375_20230620140509_4.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481375_20230620140509_5.jpg,"
얼룩","
손상","
얼룩",1,NULL,NULL,주요품목,티셔츠,밝은색,,연구동,,,NULL,NULL,Y,N,"2023-05-18 14:19:24","2023-07-05 09:18:25"
0101481484,1669,332,19276,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481484_20230518143533_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481484_20230518142851_3.jpg,,,"
얼룩",,,1,NULL,NULL,주요품목,바지,어두운색,"보석/장식,금속단추,옷프린팅,패턴/다색",연구동,NULL,,NULL,NULL,Y,N,"2023-05-18 14:19:25","2023-05-18 14:45:48"
0101481593,1669,333,19277,500,1,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481593_20230518142802_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,아우터,기능성의류,밝은색,,연구동,고가의류,,NULL,NULL,Y,N,"2023-05-18 14:19:25","2023-05-18 14:45:48"
0101481602,1669,334,19287,500,1,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481602_20230518173354_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481602_20230518173354_3.jpg,,,"
손상",,,2,NULL,NULL,아우터,기능성의류,밝은색,"패턴/다색,옷프린팅,금속단추,보석/장식",연구동,,,NULL,NULL,Y,N,"2023-05-18 17:29:41","2023-05-18 17:54:12"
0101481711,1669,335,19288,500,7,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481711_20230518173446_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101481711_20230518173446_3.jpg,,,"
얼룩",,,2,NULL,NULL,주요품목,다운패딩,어두운색,"패턴/다색,옷프린팅,금속단추,보석/장식",연구동,NULL,,NULL,NULL,Y,N,"2023-05-18 17:29:41","2023-05-18 17:54:12"
0101482056,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,"2023-05-19 14:58:57","2023-05-19 15:44:02"
0101482165,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,"2023-05-19 14:58:57","2023-05-19 15:39:42"
0101482274,1556,342,19304,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482274_20230519154036_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482274_20230519154036_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482274_20230519154036_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482274_20230519154036_4.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482274_20230519154036_5.jpg,"
얼룩","
손상","
얼룩",6,NULL,NULL,주요품목,정장상의,밝은색,,연구동,,,NULL,NULL,Y,N,"2023-05-19 15:25:42","2023-05-22 10:15:29"
0101482383,1744,336,19291,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482383_20230524104711_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482383_20230524104711_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482383_20230524104711_4.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0101482383_20230524104711_5.jpg,"
얼룩","
얼룩","
얼룩",3,NULL,NULL,주요품목,티셔츠,밝은색,,세탁공장,,"이건 죽어도 안됨",NULL,NULL,Y,N,"2023-05-19 10:13:55","2023-05-24 10:47:18"
