name,url,category
Boldoduc Sas,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/boldoduc-sas.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
Brentareno Srl,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/brentareno-srl.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
EMCO Bautechnik GmbH,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/emco-bautechnik-gmbh.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
Kentaur A/S,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/kentaur-as.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
MiRiCal Emblems Ltd.,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/mirical-emblems-ltd.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
Nazu International,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/nazu-international.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
POLYMARK GRAPHICS GmbH,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/polymark-graphics-gmbh.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
Thermopatch BV,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/thermopatch-bv.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
THERMOTEX NAGEL GmbH,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/thermotex-nagel-gmbh.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
TOLKAR SMARTEX,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/tolkar-makina-sanayi-ve-ticaret-as.html#exhibitorheadline,"Machinery, systems and accessories for dyeing and textile applications"
"Jinan Oasis Dry Cleaning and Laundry Equipment Co., Ltd.",https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/jinan-oasis-dry-cleaning-and-laundry-equipment-co-ltd.html#exhibitorheadline,"Machinery, systems and accessories for washing textiles"
"AGA TECH, SRL",https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/aga-tech-srl.html#exhibitorheadline,"Machinery, systems and accessories for washing textiles"
Alliance Laundry CE s.r.o.,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/alliance-laundry-ce-sro.html#exhibitorheadline,"Machinery, systems and accessories for washing textiles"
CBA Machines,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/consultancebureau-arno-nv.html#exhibitorheadline,"Machinery, systems and accessories for washing textiles"
Cdf Systems,https://texcare.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cdf-systems.html#exhibitorheadline,"Machinery, systems and accessories for washing textiles"
