,date_col,item_count,weekday,holiday,평균기온(℃),일교차(℃),강수량(mm),prev_item_count
1,2018-01-03,213,2,0,-3.2,7.9,0.0,1.0
2,2018-01-04,125,3,0,-3.8,7.8,0.0,213.0
3,2018-01-05,128,4,0,-2.6,9.6,0.0,125.0
4,2018-01-06,88,5,0,-2.8,12.5,0.0,128.0
5,2018-01-08,68,0,0,0.9,4.3,1.9,88.0
6,2018-01-09,180,1,0,-3.4,5.1,3.0,68.0
7,2018-01-10,54,2,0,-6.8,9.2,1.7,180.0
8,2018-01-11,86,3,0,-11.2,9.5,0.0,54.0
9,2018-01-12,81,4,0,-11.8,14.8,0.0,86.0
10,2018-01-13,76,5,0,-4.7,10.3,0.0,81.0
11,2018-01-15,75,0,0,2.2,9.7,0.0,76.0
12,2018-01-16,119,1,0,1.9,9.3,1.2,75.0
13,2018-01-17,159,2,0,3.3,4.3,5.0,119.0
14,2018-01-18,86,3,0,2.2,6.7,0.0,159.0
15,2018-01-19,120,4,0,-0.8,10.1,0.0,86.0
16,2018-01-22,87,0,0,2.0,9.4,1.2,120.0
17,2018-01-23,284,1,0,-8.8,9.9,0.0,87.0
18,2018-01-24,29,2,0,-12.4,6.5,0.0,284.0
19,2018-01-25,51,3,0,-12.8,8.6,0.0,29.0
20,2018-01-26,103,4,0,-13.7,7.3,0.0,51.0
21,2018-01-27,77,5,0,-10.4,16.2,0.0,103.0
22,2018-01-29,109,0,0,-7.9,6.9,0.0,77.0
23,2018-01-30,76,1,0,-6.1,16.8,0.0,109.0
24,2018-01-31,116,2,0,-1.9,9.3,0.0,76.0
25,2018-02-01,95,3,0,-4.3,13.8,0.0,116.0
26,2018-02-02,101,4,0,-4.5,15.7,0.0,95.0
27,2018-02-03,109,5,0,-5.9,5.6,0.0,101.0
28,2018-02-06,204,1,0,-9.2,8.0,0.0,109.0
29,2018-02-07,105,2,0,-9.9,17.1,0.0,204.0
30,2018-02-08,74,3,0,-5.8,17.8,0.0,105.0
31,2018-02-09,76,4,0,-0.4,17.2,0.0,74.0
32,2018-02-10,129,5,0,-1.0,12.0,0.0,76.0
33,2018-02-12,71,0,0,-7.4,13.3,0.3,129.0
34,2018-02-13,64,1,0,-2.9,16.8,0.6,71.0
35,2018-02-14,99,2,0,3.0,15.7,0.0,64.0
36,2018-02-20,316,1,0,0.8,12.2,0.0,99.0
37,2018-02-21,148,2,0,-0.8,8.8,0.0,316.0
38,2018-02-23,192,4,0,4.9,11.4,0.7,148.0
39,2018-02-24,102,5,0,4.4,12.3,0.0,192.0
40,2018-02-26,152,0,0,1.4,18.5,0.0,102.0
41,2018-02-27,117,1,0,4.1,18.1,0.0,152.0
42,2018-02-28,89,2,0,5.0,7.6,30.0,117.0
43,2018-03-01,74,3,1,0.9,7.9,1.6,89.0
44,2018-03-02,111,4,0,-0.4,15.1,0.0,74.0
45,2018-03-03,89,5,0,7.3,20.6,0.0,111.0
46,2018-03-05,164,0,0,5.3,11.9,7.1,89.0
47,2018-03-06,191,1,0,3.9,15.1,0.0,164.0
48,2018-03-07,93,2,0,5.0,10.1,4.4,191.0
49,2018-03-08,111,3,0,3.4,6.6,6.7,93.0
50,2018-03-09,141,4,0,3.8,8.2,0.0,111.0
51,2018-03-10,147,5,0,3.0,14.3,0.0,141.0
52,2018-03-12,242,0,0,6.8,19.9,0.0,147.0
53,2018-03-13,127,1,0,11.0,20.1,0.0,242.0
54,2018-03-14,179,2,0,14.0,19.9,0.0,127.0
55,2018-03-15,91,3,0,11.8,6.6,7.6,179.0
56,2018-03-16,198,4,0,5.5,9.7,0.1,91.0
57,2018-03-17,188,5,0,5.6,17.3,0.0,198.0
58,2018-03-19,93,0,0,7.6,4.5,13.7,188.0
59,2018-03-20,142,1,0,5.5,7.0,0.1,93.0
60,2018-03-21,78,2,0,1.5,5.2,3.6,142.0
61,2018-03-22,142,3,0,4.7,10.8,0.1,78.0
62,2018-03-23,112,4,0,4.7,15.9,0.0,142.0
63,2018-03-24,125,5,0,7.1,16.0,0.0,112.0
64,2018-03-26,180,0,0,9.6,19.8,0.0,125.0
65,2018-03-27,215,1,0,12.6,19.4,0.0,180.0
66,2018-03-28,119,2,0,13.7,18.2,0.0,215.0
