number,symbols,symbol_converted,fiber_converted,fiber,garment,L_1,S_1,소분류,색상,프린팅,소재,디테일,이숙종C_1차,이숙종C_2차,세풍_1차,세풍_2차,L_1,L_2,S_1,S_2,r,g,b,color,color2,new_color2,symbol_converted.1,fiber_converted,fiber_converted2
1, dry-kr_shadow iron_do dry-clean-kr_do bleach_do-not,"[0, 1, 2, 3]",['폴리에스터'], 폴리_100%,블라우스,3,2,블라우스,"[['#b5ced4', 0.97616863], ['#7f8793', 0.023831347]]",['무지'],['면'],['포켓'],12,0,8,12,3,-1,2,3,181,206,212,light,idk,light,"[0, 1, 2, 3]",['폴리에스터'],[0]
2, iron_do bleach_do-not wash-jp_do tumble-dry_do-not dry-kr_shadow,"[1, 3, 4, 5, 0]","['면', '폴리에스터', '폴리우레탄']", 면_90%|폴리에스터_7%|폴리우레탄_3%,청바지,0,0,청바지,"[['#b4c8c2', 0.9545051], ['#6e8082', 0.023636041], ['#363838', 0.021858895]]",['무지'],['데님'],"['포켓', '단추']",2,0,2,7,0,-1,0,2,180,200,194,light,dark,dark,"[1, 3, 4, 5, 0]","['면', '폴리에스터', '폴리우레탄']","[1, 0, 2]"
3, iron_do-with-cloth bleach_do-not dry-clean-kr_do-not wash-jp_do tumble-dry_do-not flame-warn-kr,"[6, 3, 7, 4, 5, 8]","['솜털', '나일론', '깃털']", 오리솜털_80%|나일론_100%|오리깃털_20%,패딩,1,1,패딩,"[['#c6d2d2', 0.95717007], ['#7e7d88', 0.04282995]]",['무지'],['합성섬유'],"['퀼팅', '포켓', '집업']",5,0,5,0,1,-1,1,-1,198,210,210,light,idk,light,"[6, 3, 7, 4, 5, 8]","['솜털', '나일론', '깃털']","[3, 4, 5]"
4, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow,"[6, 9, 3, 10, 0]","['면', '폴리우레탄', '면', '나일론']", 면_61%|폴리우레탄_5%|면_100%|나일론_34%,팬츠,0,3,배기팬츠,"[['#77acc7', 0.94096774], ['#5c6d7c', 0.048387095], ['#434447', 0.010645161]]",['무지'],['면'],['포켓'],1,9,9,6,0,3,3,2,119,172,199,light,dark,dark,"[6, 9, 3, 10, 0]","['면', '폴리우레탄', '면', '나일론']","[1, 2, 1, 4]"
5, dry-clean_do iron_do-with-cloth wash_do-perm-press dry-clean-kr_do iron_do bleach_do-not bleach-jp_do-not dry_shadow wash-jp_do tumble-dry_do-not dry-jp_shadow,"[11, 6, 12, 2, 1, 3, 13, 14, 4, 5, 15]",['면'], COTTON_100%,블라우스,0,0,블라우스,"[['#4abbd5', 0.48793375], ['#c6e3e1', 0.19957724], ['#91dce8', 0.13968645], ['#305679', 0.15800598], ['#157ea0', 0.014796548]]",['체크'],['면'],"['단추', '포켓']",1,9,1,6,0,3,0,2,74,187,213,light,dark,dark,"[11, 6, 12, 2, 1, 3, 13, 14, 4, 5, 15]",['면'],[1]
6, dry-kr_shadow wring-jp_do-not hand-wash-jp bleach_do-not,"[0, 16, 9, 3]","['면', '폴리에스터']", 면_80%|폴리에스터_20%,팬츠,0,0,스웨트팬츠,"[['#658dc6', 0.2606973], ['#8abad3', 0.14342314], ['#9ec1cc', 0.08193344], ['#face6d', 0.13803487], ['#fbd897', 0.082250394]]",['무지'],['면'],['null'],3,0,3,8,0,-1,0,2,101,141,198,light,white,light,"[0, 16, 9, 3]","['면', '폴리에스터']","[1, 0]"
7, iron_do-with-cloth hand-wash-jp bleach_do-not tumble-dry_do-not dry-kr_shadow,"[6, 9, 3, 5, 0]","['면', '폴리우레탄']", 면_97%|폴리우레탄_3%,팬츠,0,2,치노팬츠,"[['#6ea2d5', 0.7862357], ['#c6e3e1', 0.08602711], ['#539ccc', 0.050573513], ['#a1c8db', 0.040667363], ['#79b5db', 0.03649635]]",['무지'],['면'],"['포켓', '단추', '롤업']",2,10,7,10,0,3,2,3,110,162,213,light,dark,dark,"[6, 9, 3, 5, 0]","['면', '폴리우레탄']","[1, 2]"
8, iron_do-with-cloth dry-kr_shadow wash-jp_do bleach_do-not,"[6, 0, 4, 3]","['폴리에스터', '폴리우레탄', '면']", 폴리에스터_70%|폴리우레탄_3%|면_27%,팬츠,0,0,스웨트팬츠,"[['#c3babf', 0.9511767], ['#676168', 0.028802248], ['#272f38', 0.020021075]]",['무지'],['면'],"['라인', '포켓']",2,0,2,7,0,-1,0,2,195,186,191,light,dark,dark,"[6, 0, 4, 3]","['폴리에스터', '폴리우레탄', '면']","[0, 2, 1]"
9, iron_do-with-cloth dry-kr_shadow hand-wash-jp bleach_do-not,"[6, 0, 9, 3]",['면'], 면_100%,재킷,3,2,데님재킷,"[['#ff7f6a', 0.9627682], ['#bf6464', 0.021034919], ['#964f4c', 0.016196886]]",['무지'],['데님'],"['단추', '포켓']",12,0,7,0,3,-1,2,-1,255,127,106,light,idk,light,"[6, 0, 9, 3]",['면'],[1]
10, wash_do-perm-press dry-clean_do-not bleach_do iron_do tumble-dry_do,"[12, 17, 18, 1, 19]",['면'], COTTON_100%,팬츠,0,2,스웨트팬츠,"[['#b4c8c2', 0.9190993], ['#f3e779', 0.031276062], ['#7a898f', 0.02293578], ['#dfe69f', 0.016055046], ['#363838', 0.010633862]]",['무지'],['면'],"['포켓', '스트랩']",3,1,6,1,0,0,2,0,180,200,194,light,white,light,"[12, 17, 18, 1, 19]",['면'],[1]
